rep_id,trial,acq_type,De_sigma_MoS,De_pi_MoS,p_be1_MoS,p_be2_MoS,p_bo1_MoS,p_bo2_MoS,p_bo3_MoS,p_bo4_MoS,p_bo5_MoS,p_bo6_MoS,p_ovun1_MoS,Dij_MoS,RvdW_MoS,Alfa_MoS,ro_sigma_MoS,Thetao_SMoS,Thetao_MoSMo,p_val1_SMoS,p_val1_MoSMo,p_val2_SMoS,p_val7_SMoS,p_val4_SMoS,Mo_RvdW,Mo_Dij,Mo_gamma,Mo_Alfa,Mo_gamma_w,S_RvdW,S_Dij,S_gamma,S_Alfa,S_gamma_w,Mo_p_boc4,Mo_p_boc3,Mo_p_boc5,Mo_p_ovun2,Mo_p_val3,Mo_p_val5,S_p_ovun2,S_p_val3,loss_eV
70,70,LCB,28.875816,99.345732,0.290621,0.910668,-0.233355,4.431665,-0.200469,8.980614,-0.118560,3.138370,0.066113,0.058168,0.992713,8.094075,3.039174,66.461410,24.884349,113.707543,21.781731,0.961055,0.445611,1.092032,0.899227,0.324709,0.324144,35.761587,60.319272,1.589558,0.033861,0.728644,8.578821,0.812665,1.421062,0.035380,0.960805,-16.685426,0.608854,0.574136,-16.177436,2.744059,4.781628
71,71,LCB,31.416470,154.018986,0.244461,1.323041,-0.230257,5.733485,-0.112174,10.633868,-0.218738,4.118953,0.029929,0.065332,1.004584,6.973192,2.880461,68.389111,25.019516,111.994699,23.625999,0.830116,0.359887,1.783900,0.887218,0.322004,0.361815,32.105861,60.573153,1.522730,0.040823,0.687755,10.577167,0.843350,0.980704,0.103381,0.700901,-20.977121,0.675686,0.683462,-18.160669,3.386896,4.926912
72,72,LCB,25.136458,93.767071,0.270769,1.312433,-0.202995,4.974312,-0.191674,9.260542,-0.115443,4.247092,0.038693,0.068929,0.990489,6.891377,3.084590,68.997971,26.143588,151.655611,25.176992,0.977977,0.425534,1.785690,0.837782,0.271242,0.309450,34.123910,51.590057,1.467601,0.027422,0.817415,10.334917,1.071019,1.428651,0.062087,0.848716,-21.539973,0.723620,0.594380,-13.571724,2.971678,4.556805
73,73,LCB,26.812898,124.459147,0.131721,0.805054,-0.135306,6.033674,-0.228310,6.282417,-0.110363,2.161761,0.040375,0.054673,1.121164,7.969444,3.108465,69.447733,24.629862,165.819188,22.768474,0.956322,0.383351,1.142106,0.908619,0.275493,0.316313,36.671150,55.050571,1.619867,0.034357,0.822798,9.562412,1.013907,0.851192,0.080349,0.629406,-13.638384,0.517979,0.786897,-18.819973,3.470727,4.464930
74,74,LCB,31.055003,115.029421,0.228373,2.046419,-0.176450,5.450092,-0.086118,9.223645,-0.251559,1.788960,0.059346,0.071345,0.981888,8.055114,3.066980,70.212937,22.976815,126.175399,23.034348,0.809632,0.431607,1.587788,0.892807,0.214102,0.312846,29.400221,58.819589,1.605367,0.039382,0.836213,10.099038,0.873647,1.233514,0.078143,1.017026,-14.084095,0.449702,0.687458,-19.578179,2.755552,4.455863
75,75,LCB,33.029899,93.992409,0.141157,0.940357,-0.224990,5.887579,-0.115241,5.694755,-0.238101,2.668575,0.027078,0.052937,1.109271,7.198138,2.977452,65.703189,25.895178,135.181897,23.577440,1.071876,0.459113,1.575926,0.890184,0.215798,0.355524,35.040135,52.271584,1.455743,0.041493,0.772411,10.803345,0.903395,0.718444,0.108356,1.090986,-19.501162,0.463606,0.714987,-12.841106,3.085998,5.469937
76,76,LCB,31.679398,124.843472,0.214358,1.041176,-0.149495,3.438157,-0.176769,6.413938,-0.172563,3.857386,0.024225,0.052917,1.065808,7.732102,3.029821,68.193914,22.778612,134.652653,17.877374,0.900116,0.347043,1.380196,0.853955,0.248105,0.353413,37.471276,60.484081,1.456519,0.042944,0.847947,9.318096,0.865209,1.260050,0.105665,0.616305,-20.370755,0.502518,0.644033,-13.110752,3.378698,4.675236
77,77,LCB,36.080742,86.771451,0.095017,1.989047,-0.206079,5.093116,-0.169334,6.389347,-0.197097,4.301089,0.053795,0.055988,0.995186,7.776170,2.767374,69.434643,23.257688,150.272979,19.802793,0.996262,0.487473,1.744220,0.840639,0.233763,0.355338,32.406929,55.794234,1.471306,0.041177,0.875013,9.536155,1.039842,0.902248,0.084752,0.967945,-17.881126,0.544163,0.546288,-18.926400,2.833795,5.029344
78,78,LCB,21.195468,128.253965,0.268505,1.604386,-0.165295,3.700228,-0.139800,6.251505,-0.125079,3.326795,0.043077,0.054542,1.009738,8.010768,3.048537,63.851972,25.438542,106.914438,23.744644,1.146688,0.496034,1.614106,0.823369,0.292868,0.347857,31.755020,53.476806,1.505846,0.033029,0.696936,10.643953,0.967370,1.322492,0.040584,0.799583,-20.605600,0.550719,0.566902,-17.452246,3.425155,4.860995
79,79,LCB,26.051668,98.443519,0.241366,1.787103,-0.232849,3.786878,-0.086798,6.926337,-0.237508,3.344533,0.067962,0.065858,1.110557,7.370476,2.768829,63.388361,26.363784,125.038157,22.143341,1.121044,0.377859,1.677507,0.930488,0.288297,0.320956,33.672623,49.889145,1.559696,0.033356,0.861164,10.022958,0.819473,0.824442,0.102695,0.969498,-17.243659,0.639455,0.577341,-12.898199,2.293514,4.776058
80,80,LCB,24.997384,125.637935,0.154347,1.084280,-0.180002,4.645717,-0.103298,8.764977,-0.225369,3.030656,0.064768,0.071215,1.106843,7.855892,3.055908,68.032735,23.799036,139.779262,23.154488,0.739846,0.337893,1.613274,0.859095,0.283091,0.293669,35.429989,45.268792,1.536054,0.037739,0.729051,10.043225,0.845695,1.017656,0.067673,0.606917,-21.629786,0.722504,0.596979,-17.715890,2.306027,4.915131
81,81,LCB,37.459885,126.117423,0.161715,1.278715,-0.196275,4.618729,-0.216102,7.082992,-0.238231,3.570179,0.069841,0.067005,0.977854,7.698110,3.054781,70.167013,25.985025,115.049082,27.406732,0.720975,0.322184,1.195165,0.882727,0.296711,0.288609,34.998473,55.857497,1.533212,0.033987,0.762075,9.911736,0.794152,1.148668,0.046809,1.353758,-22.721639,0.507965,0.787580,-13.072601,3.517038,4.025300
